y061,Mikhail,Youzhny,,1982.06.25,1982,6,25,1999,73,160,183,72,"Moscow, Russia"
s058,Tomas,Smid,CZE,1956.05.20,1956,5,20,,79,175,191,75,"Plzen, Czechoslovakia"
rh16,Casper,Ruud,NOR,1998.12.22,1998,12,22,2015,77,170,183,72,"Oslo, Norway"
r055,Marty,Riessen,USA,1941.12.04,1941,12,4,,79,175,185,73,"Hinsdale, IL, USA"
k336,Ivo,Karlovic,CRO,1979.02.28,1979,2,28,2000,104,230,211,83,"Zagreb, Croatia"
s572,Sjeng,Schalken,NED,1976.09.08,1976,9,8,1994,82,181,193,76,"Weert, The Netherlands"
j129,Thomas,Johansson,SWE,1975.03.24,1975,3,24,1994,80,176,180,71,"Linkoping, Sweden"
f510,Fabio,Fognini,ITA,1987.05.24,1987,5,24,2004,79,174,178,70,"Sanremo, Italy"
k049,Jan,Kodes,CZE,1946.03.01,1946,3,1,,81,178,175,69,"Prague, Czech Republic"
p190,Guillermo,Perez-Roldan,ARG,1969.10.20,1969,10,20,1986,78,173,178,70,"Tandil, B.A., Argentina"
g077,Richard Pancho,Gonzales,USA,1928.05.09,1928,5,9,1946,82,180,188,74,"Los Angeles, CA"
c252,Francisco,Clavet,ESP,1968.10.24,1968,10,24,1988,71,156,183,72,"Aranjuez, Spain"
f024,Jaime,Fillol Sr.,CHI,1946.06.03,1946,6,3,1968,73,160,180,71,"Santiago, Chile"
k435,Philipp,Kohlschreiber,GER,1983.10.16,1983,10,16,2001,70,154,178,70,"Augsburg, Germany"
y017,Jaime,Yzaga,PER,1967.10.23,1967,10,23,1985,68,150,170,67,"Lima, Peru"
t011,Brian,Teacher,USA,1954.12.23,1954,12,23,,79,175,191,75,"San Diego, CA"
r975,Milos,Raonic,CAN,1990.12.27,1990,12,27,2008,98,216,196,77,"Podgorica, Montenegro"
s090,Dick,Stockton,USA,1951.02.18,1951,2,18,,82,180,188,74,"New York, NY, U.S.A."
d875,Grigor,Dimitrov,BUL,1991.05.16,1991,5,16,2008,81,179,191,75,"Haskovo, Bulgaria"
j006,Anders,Jarryd,SWE,1961.07.13,1961,7,13,1980,70,155,180,71,"Lidkoping, Sweden"
pi74,Fred,Perry,GBR,1909.05.18,1909,5,18,,,,,,Stockport
m442,Todd,Martin,USA,1970.07.08,1970,7,8,1990,91,200,198,78,"Hinsdale, Illinois, USA"
c433,Guillermo,Canas,ARG,1977.11.25,1977,11,25,1995,86,190,185,73,"Buenos Aires, Argentina"
h058,Bob,Hewitt,RSA,1940.01.12,1940,1,12,,93,205,191,75,"Dubbo, NSW, Australia"
g374,Gaston,Gaudio,ARG,1978.12.09,1978,12,9,1996,70,155,175,69,"Buenos Aires, Argentina"
a014,John,Alexander,AUS,1951.07.04,1951,7,4,,82,180,191,75,"Sydney, NSW, Australia"
k024,Ramesh,Krishnan,IND,1961.06.05,1961,6,5,1978,64,140,170,67,"Madras, India"
t315,Dmitry,Tursunov,,1982.12.12,1982,12,12,2000,82,180,185,73,"Moscow, Russia"
m035,Luiz,Mattar,BRA,1963.08.18,1963,8,18,1985,76,167,183,72,"Sao Paulo, Brazil"
n254,Jiri,Novak,CZE,1975.03.22,1975,3,22,1993,86,190,191,75,"Zlin, Czech Republic"
s0ag,Jannik,Sinner,ITA,2001.08.16,2001,8,16,2018,76,167,188,74,"San Candido, Italy"
c514,Juan Ignacio,Chela,ARG,1979.08.30,1979,8,30,1998,75,165,191,75,"Buenos Aires, Argentina"
cj19,Henri,Cochet,FRA,1901.12.14,1901,12,14,,,,,,Lyon
m051,Peter,McNamara,AUS,1955.07.05,1955,7,5,,75,165,185,73,"Melbourne, VIC, Australia"
p070,Onny,Parun,NZL,1947.04.15,1947,4,15,,76,168,188,74,"Wellington, New Zealand"
c179,Carlos,Costa,ESP,1968.04.22,1968,4,22,1988,73,162,183,72,"Barcelona, Spain"
bk40,Matteo,Berrettini,ITA,1996.04.12,1996,4,12,2015,95,209,196,77,"Rome, Italy"
