1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,24,G. Montgomerie,mu17,g-montgomerie,G. Tabor,tf91,g-tabor,,,56 62 26 65 65,3,2,25,24,0,0,1878-540-mu17-tf91,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,25,S. Montgomerie,mu61,s-montgomerie,A. Crichton,cm54,a-crichton,,,62 62 61,3,0,18,5,0,0,1878-540-mu61-cm54,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,26,A.T. Myers,mu63,at-myers,G. Buxton,bt09,g-buxton,,,65 64 60,3,0,18,9,0,0,1878-540-mu63-bt09,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,27,F. Porter,pl22,f-porter,E. Bates,bt08,e-bates,,,60 36 60 36 63,3,2,24,15,0,0,1878-540-pl22-bt08,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,28,E. Seymour,sx13,e-seymour,J.S. Cotton,cm56,js-cotton,,,61 61 (RET),2,0,12,2,0,0,1878-540-sx13-cm56,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,29,A. Tabor,tf89,a-tabor,C. Wallis,wa62,c-wallis,,,60 60 60,3,0,18,0,0,0,1878-540-tf89-wa62,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Finals,1,1,John Hartley,hg35,john-hartley,Frank Hadow,hg50,frank-hadow,,,(W/O),0,0,0,0,0,0,1879-540-hg35-hg50,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Semi-Finals,2,1,John Hartley,hg35,john-hartley,Vere St. Leger Goold,sx11,vere-st-leger-goold,,,62 64 62,3,0,18,8,0,0,1879-540-hg35-sx11,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Quarter-Finals,3,1,John Hartley,hg35,john-hartley,C. Parr,pl20,c-parr,,,26 60 61 61,3,1,20,8,0,0,1879-540-hg35-pl20,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,1,John Hartley,hg35,john-hartley,C. Heathcote,hg42,c-heathcote,,,64 63 63,3,0,18,10,0,0,1879-540-hg35-hg42,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,2,C. Parr,pl20,c-parr,C. Barry,bt03,c-barry,,,62 65 64,3,0,18,11,0,0,1879-540-pl20-bt03,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,3,Vere St. Leger Goold,sx11,vere-st-leger-goold,G. Tabor,tf91,g-tabor,,,62 65 56 63,3,1,23,16,0,0,1879-540-sx11-tf91,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,4,C. Barry,bt03,c-barry,A.T. Myers,mu63,at-myers,,,63 62 62,3,0,18,7,0,0,1879-540-bt03-mu63,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,5,John Hartley,hg35,john-hartley,William Marshall,mu62,william-marshall,,,61 63 46 61,3,1,22,11,0,0,1879-540-hg35-mu62,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,6,C. Heathcote,hg42,c-heathcote,V. Brooke,bs98,v-brooke,,,62 60 61,3,0,18,3,0,0,1879-540-hg42-bs98,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,7,C. Parr,pl20,c-parr,T. Hoare,hg47,t-hoare,,,64 16 60 62,3,1,19,12,0,0,1879-540-pl20-hg47,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,8,Vere St. Leger Goold,sx11,vere-st-leger-goold,A. Mulholland,mu65,a-mulholland,,,64 26 61 64,3,1,20,15,0,0,1879-540-sx11-mu65,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,9,G. Tabor,tf91,g-tabor,E. Lubbock,lh21,e-lubbock,,,56 46 65 61 65,3,2,27,23,0,0,1879-540-tf91-lh21,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,10,C. Barry,bt03,c-barry,G. Arbuthnot,af55,g-arbuthnot,,,61 64 64,3,0,18,9,0,0,1879-540-bt03-af55,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,11,V. Brooke,bs98,v-brooke,B. Cotton,cm46,b-cotton,,,46 63 26 62 61,3,2,24,18,0,0,1879-540-bs98-cm46,
1879-540,1,wimbledon,/en/scores/archive/wimbledon/540/1879/results,Round Robin,4,12,John Hartley,hg35,john-hartley,L. Erskine,e994,l-erskine,,,64 65 56 06 65,3,2,23,26,0,0,1879-540-hg35-e994,
