1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,20,Claude De Gronckel,d124,claude-de-gronckel,Phil Dent,d074,phil-dent,,,62 1012 61 61,3,1,28,16,0,0,1967-580-1-8-d124-d074,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,21,Brian Fairlie,f066,brian-fairlie,Peter Richardson,r169,peter-richardson,,,(W/O),,,,,,,1967-580-1-7-f066-r169,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,22,Warren Jacques,j059,warren-jacques,Gary Penberthy,p102,gary-penberthy,,,36 36 61 63 63,3,2,24,19,0,0,1967-580-1-6-j059-p102,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,23,Lance Lumsden,l121,lance-lumsden,Wayne Reid,r174,wayne-reid,,,64 86 64,3,0,20,14,0,0,1967-580-1-5-l121-r174,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,24,D. Richard Russell,r077,d.-richard-russell,Anthony Hammond,h133,anthony-hammond,,,63 108 62,3,0,22,13,0,0,1967-580-1-4-r077-h133,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,25,G. Sara,s332,g.-sara,Josef Stabholz,s333,josef-stabholz,,,1113 61 1412 64,3,1,37,30,0,0,1967-580-1-3-s332-s333,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,26,Allan Stone,s148,allan-stone,John Alexander,a014,john-alexander,,,63 75 64,3,0,19,12,0,0,1967-580-1-2-s148-a014,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,27,Andre Thielemans,td40,andre-thielemans,Don Candy,c182,don-candy,,,75 63 64,3,0,19,12,0,0,1967-580-1-1-td40-c182,
1967-520,2,french-championships,/en/scores/archive/french-championships/520/1967/results,Finals,1,1,Roy Emerson,e030,roy-emerson,Tony Roche,r073,tony-roche,1,2,61 64 26 62,3,1,20,13,0,0,1967-520-7-1-e030-r073,
1967-520,2,french-championships,/en/scores/archive/french-championships/520/1967/results,Semi-Finals,2,1,Roy Emerson,e030,roy-emerson,Istvan Gulyas,g151,istvan-gulyas,1,5,63 64 62,3,0,18,9,0,0,1967-520-6-2-e030-g151,
1967-520,2,french-championships,/en/scores/archive/french-championships/520/1967/results,Semi-Finals,2,2,Tony Roche,r073,tony-roche,Nikola Pilic,p080,nikola-pilic,2,14,36 63 64 26 64,3,2,23,23,0,0,1967-520-6-1-r073-p080,
1967-520,2,french-championships,/en/scores/archive/french-championships/520/1967/results,Quarter-Finals,3,1,Roy Emerson,e030,roy-emerson,Pierre Darmon,d131,pierre-darmon,1,8,60 64 64,3,0,18,8,0,0,1967-520-5-4-e030-d131,
