1991-354-MS029-1-4-s102-b037,wellington,/en/scores/1991/354/MS029/match-stats?isLive=False,01:05:00,65,s102,262,6,6,45,70,35,45,8,25,6,7,9,210,10,30,13,23,4,5,10,43,70,23,53,66,123,b037,227,3,3,30,53,20,30,10,23,1,5,10,115,10,45,17,25,1,7,9,30,53,27,70,57,123
1991-354-MS021-1-3-v002-c252,wellington,/en/scores/1991/354/MS021/match-stats?isLive=False,01:22:00,82,v002,249,2,3,40,79,24,40,23,39,11,13,10,190,16,35,7,14,4,8,9,47,79,23,49,70,128,c252,230,0,0,35,49,19,35,7,14,4,8,9,116,16,40,16,39,2,13,10,26,49,32,79,58,128
1991-354-MS026-1-2-w011-f192,wellington,/en/scores/1991/354/MS026/match-stats?isLive=False,02:10:00,130,w011,258,7,8,79,127,56,79,19,48,13,15,15,161,21,63,16,32,5,11,15,75,127,37,95,112,222,f192,251,3,1,63,95,42,63,16,32,6,11,15,115,23,79,29,48,2,15,15,58,95,52,127,110,222
1991-354-MS025-1-1-z045-v141,wellington,/en/scores/1991/354/MS025/match-stats?isLive=False,01:10:00,70,z045,278,3,3,39,64,30,39,13,25,0,0,9,163,11,33,8,17,3,6,9,43,64,19,50,62,114,v141,253,2,1,33,50,22,33,9,17,3,6,9,71,9,39,12,25,0,0,9,31,50,21,64,52,114
1991-338-MS001-5-1-f035-s351,sydney,/en/scores/1991/338/MS001/match-stats?isLive=False,01:13:00,73,f035,287,7,1,28,52,23,28,18,24,0,0,10,136,9,35,17,27,2,8,9,41,52,26,62,67,114,s351,242,5,7,35,62,26,35,10,27,6,8,9,43,5,28,6,24,0,0,10,36,62,11,52,47,114
1991-338-MS002-4-2-f035-r043,sydney,/en/scores/1991/338/MS002/match-stats?isLive=False,00:52:00,52,f035,289,6,0,0,35,17,21,8,14,0,1,7,322,17,25,11,16,6,6,7,25,35,28,41,53,76,r043,138,2,2,25,41,8,25,5,16,0,6,7,176,4,21,6,14,1,1,7,13,41,10,35,23,76
1991-338-MS003-4-1-s351-g182,sydney,/en/scores/1991/338/MS003/match-stats?isLive=False,01:30:00,90,s351,196,6,3,46,74,39,46,13,28,0,0,11,121,16,48,7,24,1,2,11,52,74,23,72,75,146,g182,294,1,2,48,72,32,48,17,24,1,2,11,69,7,46,15,28,0,0,11,49,72,22,74,71,146
1991-338-MS005-3-4-f035-s424,sydney,/en/scores/1991/338/MS005/match-stats?isLive=False,01:12:00,72,f035,254,7,1,30,50,25,30,11,20,0,0,8,193,13,27,17,30,4,13,7,36,50,30,57,66,107,s424,183,2,3,27,57,14,27,13,30,9,13,7,62,5,30,9,20,0,0,8,27,57,14,50,41,107
1991-338-MS007-3-3-g182-c001,sydney,/en/scores/1991/338/MS007/match-stats?isLive=False,01:27:00,87,g182,248,0,3,41,69,26,41,16,28,2,5,11,219,18,32,15,32,5,7,11,42,69,33,64,75,133,c001,198,2,5,32,64,14,32,17,32,2,7,11,167,15,41,12,28,3,5,11,31,64,27,69,58,133
1991-338-MS004-3-2-r043-j004,sydney,/en/scores/1991/338/MS004/match-stats?isLive=False,01:03:00,63,r043,281,1,1,35,52,26,35,9,17,3,4,8,224,8,22,19,27,5,9,8,35,52,27,49,62,101,j004,171,2,7,22,49,14,22,8,27,4,9,8,110,9,35,8,17,1,4,8,22,49,17,52,39,101
